PROJNUM,Total_Terrain_Types,Terrain_Type_List
19970006,2,"instream, riparian"
19970012,2,"instream, riparian"
19970013,2,"instream, riparian"
19970014,4,"instream, riparian, passage, road"
19970017,2,"instream, passage"
19970019,3,"instream, riparian, road"
19970020,2,"instream, road"
19970023,2,"instream, riparian"
19970025,2,"instream, riparian"
19970028,2,"instream, riparian"
19970039,2,"instream, passage"
19970041,2,"instream, riparian"
19970042,2,"riparian, wetland"
19970047,2,"instream, riparian"
19970072,2,"instream, riparian"
19970073,2,"instream, riparian"
19970074,2,"instream, riparian"
19970075,2,"instream, riparian"
19970076,2,"riparian, upland"
19970077,2,"riparian, upland"
19970078,2,"riparian, upland"
19970079,2,"riparian, upland"
19970088,2,"instream, riparian"
19970089,3,"instream, riparian, road"
19970093,3,"instream, riparian, upland"
19970094,2,"riparian, upland"
19970095,2,"riparian, upland"
19970096,2,"riparian, upland"
19970097,2,"riparian, upland"
19970100,4,"instream, riparian, passage, road"
19970112,2,"instream, riparian"
19970113,2,"instream, riparian"
19970123,2,"instream, riparian"
19970129,2,"instream, riparian"
19970142,2,"instream, riparian"
19970144,2,"instream, riparian"
19970145,2,"instream, riparian"
19970146,2,"instream, riparian"
19970257,2,"riparian, upland"
19970401,2,"riparian, road"
19970409,2,"instream, passage"
19970416,3,"instream, riparian, road"
19970417,3,"instream, riparian, passage"
19970419,3,"instream, riparian, road"
19970420,2,"instream, road"
19970421,4,"instream, riparian, passage, road"
19970422,2,"instream, riparian"
19970423,3,"instream, riparian, upland"
19970430,3,"instream, riparian, upland"
19970436,2,"instream, riparian"
19970439,2,"riparian, upland"
19970440,2,"riparian, passage"
19970441,3,"instream, riparian, passage"
19970452,2,"instream, riparian"
19970472,2,"instream, riparian"
19970484,3,"riparian, road, upland"
19970488,2,"riparian, road"
19970489,2,"riparian, road"
19970490,2,"riparian, road"
19970492,2,"riparian, road"
19970495,2,"instream, passage"
19970554,2,"instream, passage"
19970562,3,"riparian, passage, upland"
19970564,2,"instream, road"
19970570,2,"instream, riparian"
19970584,2,"instream, riparian"
19970607,2,"instream, riparian"
19970608,3,"instream, riparian, passage"
19970609,2,"instream, riparian"
19970624,2,"instream, riparian"
19970625,3,"riparian, road, upland"
19970657,3,"instream, riparian, passage"
19970658,3,"instream, riparian, upland"
19970659,2,"instream, riparian"
19970663,3,"instream, riparian, upland"
19970676,2,"passage, road"
19970691,2,"passage, road"
19970704,2,"instream, riparian"
19970708,2,"instream, riparian"
