ProjectID,PROJNUM,count_combined,combined,instream,riparian,passage,road,upland,wetland,estuarine,urban,screening,flow
6,19970006,2,1,instream,riparian,,,,,,,,
12,19970012,2,1,instream,riparian,,,,,,,,
13,19970013,2,1,instream,riparian,,,,,,,,
14,19970014,4,1,instream,riparian,passage,road,,,,,,
16,19970017,2,1,instream,,passage,,,,,,,
17,19970019,3,1,instream,riparian,,road,,,,,,
18,19970020,2,1,instream,,,road,,,,,,
21,19970023,2,1,instream,riparian,,,,,,,,
23,19970025,2,1,instream,riparian,,,,,,,,
26,19970028,2,1,instream,riparian,,,,,,,,
36,19970039,2,1,instream,,passage,,,,,,,
37,19970041,2,1,instream,riparian,,,,,,,,
38,19970042,2,1,,riparian,,,,wetland,,,,
43,19970047,2,1,instream,riparian,,,,,,,,
46,19970072,2,1,instream,riparian,,,,,,,,
47,19970073,2,1,instream,riparian,,,,,,,,
48,19970074,2,1,instream,riparian,,,,,,,,
49,19970075,2,1,instream,riparian,,,,,,,,
50,19970076,2,1,,riparian,,,upland,,,,,
51,19970077,2,1,,riparian,,,upland,,,,,
52,19970078,2,1,,riparian,,,upland,,,,,
53,19970079,2,1,,riparian,,,upland,,,,,
57,19970088,2,1,instream,riparian,,,,,,,,
58,19970089,3,1,instream,riparian,,road,,,,,,
62,19970093,3,1,instream,riparian,,,upland,,,,,
63,19970094,2,1,,riparian,,,upland,,,,,
64,19970095,2,1,,riparian,,,upland,,,,,
65,19970096,2,1,,riparian,,,upland,,,,,
66,19970097,2,1,,riparian,,,upland,,,,,
69,19970100,4,1,instream,riparian,passage,road,,,,,,
74,19970112,2,1,instream,riparian,,,,,,,,
75,19970113,2,1,instream,riparian,,,,,,,,
76,19970123,2,1,instream,riparian,,,,,,,,
80,19970129,2,1,instream,riparian,,,,,,,,
87,19970142,2,1,instream,riparian,,,,,,,,
89,19970144,2,1,instream,riparian,,,,,,,,
90,19970145,2,1,instream,riparian,,,,,,,,
91,19970146,2,1,instream,riparian,,,,,,,,
95,19970257,2,1,,riparian,,,upland,,,,,
100,19970401,2,1,,riparian,,road,,,,,,
102,19970409,2,1,instream,,passage,,,,,,,
107,19970416,3,1,instream,riparian,,road,,,,,,
108,19970417,3,1,instream,riparian,passage,,,,,,,
110,19970419,3,1,instream,riparian,,road,,,,,,
111,19970420,2,1,instream,,,road,,,,,,
112,19970421,4,1,instream,riparian,passage,road,,,,,,
113,19970422,2,1,instream,riparian,,,,,,,,
114,19970423,3,1,instream,riparian,,,upland,,,,,
121,19970430,3,1,instream,riparian,,,upland,,,,,
126,19970436,2,1,instream,riparian,,,,,,,,
129,19970439,2,1,,riparian,,,upland,,,,,
130,19970440,2,1,,riparian,passage,,,,,,,
131,19970441,3,1,instream,riparian,passage,,,,,,,
138,19970452,2,1,instream,riparian,,,,,,,,
148,19970472,2,1,instream,riparian,,,,,,,,
153,19970484,3,1,,riparian,,road,upland,,,,,
154,19970488,2,1,,riparian,,road,,,,,,
155,19970489,2,1,,riparian,,road,,,,,,
156,19970490,2,1,,riparian,,road,,,,,,
157,19970492,2,1,,riparian,,road,,,,,,
159,19970495,2,1,instream,,passage,,,,,,,
184,19970554,2,1,instream,,passage,,,,,,,
188,19970562,3,1,,riparian,passage,,upland,,,,,
190,19970564,2,1,instream,,,road,,,,,,
194,19970570,2,1,instream,riparian,,,,,,,,
204,19970584,2,1,instream,riparian,,,,,,,,
205,19970607,2,1,instream,riparian,,,,,,,,
206,19970608,3,1,instream,riparian,passage,,,,,,,
207,19970609,2,1,instream,riparian,,,,,,,,
214,19970624,2,1,instream,riparian,,,,,,,,
215,19970625,3,1,,riparian,,road,upland,,,,,
243,19970657,3,1,instream,riparian,passage,,,,,,,
244,19970658,3,1,instream,riparian,,,upland,,,,,
245,19970659,2,1,instream,riparian,,,,,,,,
248,19970663,3,1,instream,riparian,,,upland,,,,,
259,19970676,2,1,,,passage,road,,,,,,
274,19970691,2,1,,,passage,road,,,,,,
287,19970704,2,1,instream,riparian,,,,,,,,
291,19970708,2,1,instream,riparian,,,,,,,,
294,19970711,3,1,instream,riparian,passage,,,,,,,
327,19970745,2,1,instream,riparian,,,,,,,,
426,19970846,2,1,,,passage,road,,,,,,
454,19970874,2,1,,,passage,road,,,,,,
455,19970875,2,1,,,passage,road,,,,,,
475,19970897,2,1,instream,riparian,,,,,,,,
534,19970959,2,1,,riparian,,road,,,,,,
567,19970994,3,1,,riparian,,road,upland,,,,,
568,19970995,2,1,,riparian,,,upland,,,,,
570,19970997,2,1,instream,riparian,,,,,,,,
574,19971001,2,1,,riparian,,,upland,,,,,
575,19971002,2,1,,riparian,,,upland,,,,,
577,19971004,2,1,,riparian,,,upland,,,,,
578,19971006,2,1,,riparian,,,upland,,,,,
582,19971010,3,1,instream,riparian,passage,,,,,,,
592,19971020,2,1,instream,,passage,,,,,,,
594,19971022,2,1,instream,,passage,,,,,,,
595,19971023,2,1,,,passage,road,,,,,,
603,19971031,3,1,instream,riparian,,,upland,,,,,
609,19971037,2,1,instream,riparian,,,,,,,,
610,19971038,2,1,instream,riparian,,,,,,,,
611,19971039,2,1,instream,,,road,,,,,,
612,19971040,2,1,instream,,,road,,,,,,
617,19971045,2,1,instream,,,road,,,,,,
619,19971047,2,1,instream,riparian,,,,,,,,
620,19971048,2,1,instream,,,road,,,,,,
622,19971050,4,1,instream,riparian,passage,road,,,,,,
623,19971051,2,1,instream,,,road,,,,,,
624,19971052,2,1,instream,,,road,,,,,,
625,19971053,2,1,instream,,,road,,,,,,
626,19971054,2,1,instream,,,road,,,,,,
627,19971055,2,1,instream,,,road,,,,,,
628,19971056,2,1,instream,,,road,,,,,,
629,19971057,2,1,,,passage,road,,,,,,
630,19971058,2,1,instream,,,road,,,,,,
631,19971059,2,1,instream,riparian,,,,,,,,
637,19971066,2,1,instream,riparian,,,,,,,,
640,19971069,2,1,,,passage,road,,,,,,
645,19971075,2,1,instream,,passage,,,,,,,
646,19971076,2,1,,riparian,,,,wetland,,,,
649,19971079,2,1,instream,riparian,,,,,,,,
650,19971080,2,1,instream,riparian,,,,,,,,
651,19971081,2,1,instream,riparian,,,,,,,,
652,19971082,3,1,instream,riparian,,,,wetland,,,,
653,19971083,3,1,instream,riparian,,,,wetland,,,,
655,19971085,4,1,instream,riparian,passage,,,wetland,,,,
656,19971086,3,1,instream,,passage,road,,,,,,
657,19971087,2,1,instream,,,road,,,,,,
658,19971088,2,1,,,passage,road,,,,,,
661,19971091,3,1,instream,riparian,,,,wetland,,,,
662,19971092,3,1,instream,riparian,,,,wetland,,,,
664,19971094,4,1,instream,riparian,passage,road,,,,,,
665,19971097,3,1,instream,riparian,,road,,,,,,
666,19971100,3,1,instream,riparian,passage,,,,,,,
667,19971101,3,1,instream,riparian,,,upland,,,,,
668,19971102,2,1,instream,riparian,,,,,,,,
669,19971103,3,1,instream,riparian,,,upland,,,,,
674,19971108,2,1,instream,,passage,,,,,,,
676,19971110,2,1,instream,riparian,,,,,,,,
678,19971112,2,1,instream,riparian,,,,,,,,
680,19971114,2,1,instream,riparian,,,,,,,,
686,19971120,2,1,instream,riparian,,,,,,,,
689,19971123,2,1,instream,riparian,,,,,,,,
691,19971125,2,1,,riparian,,,upland,,,,,
693,19971127,3,1,instream,riparian,,,upland,,,,,
694,19971128,3,1,instream,riparian,,,upland,,,,,
695,19971129,2,1,instream,riparian,,,,,,,,
711,19971145,2,1,,riparian,,,upland,,,,,
712,19971146,2,1,,riparian,,,upland,,,,,
713,19971147,2,1,,riparian,,,upland,,,,,
714,19971148,2,1,,riparian,,,upland,,,,,
719,19971153,2,1,,riparian,,,upland,,,,,
722,19971156,2,1,,riparian,,,upland,,,,,
723,19971157,2,1,,riparian,,,upland,,,,,
728,19971163,2,1,,riparian,,,upland,,,,,
730,19971165,2,1,instream,riparian,,,,,,,,
732,19971168,2,1,instream,riparian,,,,,,,,
733,19971169,2,1,instream,riparian,,,,,,,,
741,19971180,2,1,,riparian,,road,,,,,,
743,19971182,3,1,instream,,passage,road,,,,,,
744,19971183,3,1,instream,,passage,road,,,,,,
745,19971184,2,1,,,passage,road,,,,,,
746,19971186,2,1,,,passage,road,,,,,,
753,19971193,2,1,instream,riparian,,,,,,,,
754,19971194,2,1,instream,riparian,,,,,,,,
755,19971195,2,1,instream,,passage,,,,,,,
756,19971196,2,1,instream,riparian,,,,,,,,
757,19971197,2,1,,riparian,passage,,,,,,,
758,19971198,2,1,,riparian,,,upland,,,,,
760,19971201,3,1,instream,riparian,,road,,,,,,
775,19971218,2,1,,riparian,,,upland,,,,,
776,19971219,2,1,,riparian,,,upland,,,,,
778,19971223,2,1,,riparian,,,upland,,,,,
780,19971225,2,1,,riparian,,,upland,,,,,
781,19971226,2,1,instream,riparian,,,,,,,,
782,19971227,2,1,,riparian,,,upland,,,,,
783,19971228,6,1,instream,riparian,passage,road,upland,wetland,,,,
784,19971229,2,1,instream,riparian,,,,,,,,
785,19971230,3,1,,riparian,,road,upland,,,,,
786,19971231,2,1,instream,riparian,,,,,,,,
788,19971233,2,1,instream,,,road,,,,,,
808,19971253,3,1,,riparian,passage,road,,,,,,
827,19971272,2,1,instream,riparian,,,,,,,,
832,19971277,2,1,,,passage,road,,,,,,
834,19971281,3,1,instream,riparian,,,upland,,,,,
835,19971282,3,1,instream,riparian,,,upland,,,,,
838,19971285,2,1,instream,riparian,,,,,,,,
840,19971287,2,1,instream,riparian,,,,,,,,
841,19971288,2,1,instream,riparian,,,,,,,,
842,19971289,3,1,instream,riparian,,,upland,,,,,
845,19971292,2,1,instream,riparian,,,,,,,,
847,19971295,2,1,,riparian,,road,,,,,,
858,19971307,3,1,instream,riparian,,road,,,,,,
860,19971309,2,1,instream,riparian,,,,,,,,
861,19971310,2,1,instream,riparian,,,,,,,,
877,19971330,2,1,instream,,,road,,,,,,
882,19971338,2,1,instream,,,road,,,,,,
884,19971341,2,1,instream,,,road,,,,,,
890,19971353,2,1,,riparian,,road,,,,,,
891,19971354,2,1,,riparian,,road,,,,,,
899,19971378,2,1,,riparian,,,upland,,,,,
901,19971380,2,1,,riparian,,,upland,,,,,
905,19971384,2,1,,riparian,,,upland,,,,,
906,19971385,2,1,,riparian,,,upland,,,,,
907,19971386,2,1,,riparian,,,upland,,,,,
908,19971387,2,1,,riparian,,,upland,,,,,
909,19971388,2,1,,riparian,,,upland,,,,,
910,19971389,2,1,,riparian,,,upland,,,,,
911,19971390,2,1,,riparian,,,upland,,,,,
912,19971391,2,1,,riparian,,,upland,,,,,
913,19971392,3,1,instream,riparian,,,upland,,,,,
920,19971399,3,1,,riparian,,road,,wetland,,,,
925,19971404,3,1,instream,riparian,,,upland,,,,,
926,19971405,3,1,instream,riparian,,,upland,,,,,
941,19971420,2,1,,riparian,,road,,,,,,
942,19971421,3,1,instream,riparian,,road,,,,,,
963,19971442,2,1,,riparian,,road,,,,,,
988,19971470,2,1,,,passage,road,,,,,,
1022,19971506,2,1,,riparian,passage,,,,,,,
1026,19971510,2,1,,riparian,,,upland,,,,,
1027,19971511,4,1,instream,riparian,passage,road,,,,,,
1047,19971531,2,1,,,passage,road,,,,,,
1054,19971538,2,1,,,passage,road,,,,,,
1055,19971539,2,1,,,passage,road,,,,,,
1060,19971544,2,1,instream,riparian,,,,,,,,
1061,19971545,2,1,instream,riparian,,,,,,,,
1062,19971546,2,1,instream,riparian,,,,,,,,
1064,19971548,2,1,instream,riparian,,,,,,,,
1070,19971554,2,1,instream,riparian,,,,,,,,
1071,19971555,2,1,instream,riparian,,,,,,,,
1126,19971612,3,1,instream,riparian,,,,wetland,,,,
1141,19971631,2,1,,,passage,road,,,,,,
1144,19971635,2,1,instream,,,road,,,,,,
1152,19971652,2,1,,,passage,road,,,,,,
1156,19971660,2,1,instream,,,road,,,,,,
1157,19971666,3,1,instream,,passage,road,,,,,,
1161,19971696,2,1,instream,,,road,,,,,,
1163,19971705,2,1,instream,,,road,,,,,,
1169,19971711,2,1,instream,,,road,,,,,,
1219,19972018,2,1,,,passage,road,,,,,,
1232,19972031,2,1,,,passage,road,,,,,,
1250,19972049,2,1,,,passage,road,,,,,,
1279,19972078,2,1,,,passage,road,,,,,,
1303,19972103,2,1,,,passage,road,,,,,,
1307,19972107,2,1,,,passage,road,,,,,,
1308,19972108,2,1,,,passage,road,,,,,,
1338,19972145,2,1,,,passage,road,,,,,,
1340,19972147,2,1,,,passage,road,,,,,,
1344,19972151,2,1,,,passage,road,,,,,,
1349,19972156,2,1,,,passage,road,,,,,,
1371,19972178,2,1,,,passage,road,,,,,,
1382,19980009,5,1,instream,riparian,passage,road,upland,,,,,
1389,19980016,2,1,,riparian,,,upland,,,,,
