,PROJNUM,Participants
0,19970001,"ODFW, EWEB, National Fish and Wildlife Foundation, Giustina Resources, BLM, USFS, Weyerhaeuser Company"
1,19970002,Weyerhaeuser Company
2,19970003,"ODFW, Oregon Wildlife Heritage Foundation"
3,19970004,"Oregon Wildlife Heritage Foundation, Stimson Lumber Company, ODFW"
4,19970005,"Private Landowner, ODFW, Oregon Wildlife Heritage Foundation"
5,19970006,"ODF, Oregon Wildlife Heritage Foundation, ODFW"
6,19970007,"Oregon Wildlife Heritage Foundation, ODFW, ODF"
7,19970008,"ODF, Oregon Wildlife Heritage Foundation, ODFW"
8,19970009,"ODF, Oregon Wildlife Heritage Foundation, ODFW"
9,19970010,"Nygaard Logging Inc., ODFW, ODF, Oregon Wildlife Heritage Foundation, Nygaard Logging Inc."
10,19970011,"Willamette Industries, Inc., ODFW, Private Landowner, National Fish and Wildlife Foundation, Oregon Wildlife Heritage Foundation"
11,19970012,"Willamette Industries, Inc., Oregon Wildlife Heritage Foundation, ODFW"
12,19970013,"ODFW, Private Landowner, National Fish and Wildlife Foundation, Willamette Industries, Inc., Oregon Wildlife Heritage Foundation, Private Landowner"
13,19970014,"Oregon Wildlife Heritage Foundation, Willamette Industries, Inc., ODFW"
14,19970016,"Nygaard Logging Inc., ODFW, ODFW, Nygaard Logging Inc., ODF"
15,19970017,"Nygaard Logging Inc., ODFW, ODFW, Nygaard Logging Inc., ODF"
16,19970019,"ODFW, Willamette Industries, Inc., Oregon Wildlife Heritage Foundation"
17,19970020,"Oregon Wildlife Heritage Foundation, Starker Forests, Inc., ODFW"
18,19970021,"Willamette Industries, Inc., ODFW, Oregon Wildlife Heritage Foundation, National Fish and Wildlife Foundation, Private Landowner, Private Landowner, Private Landowner"
19,19970022,"Oregon Wildlife Heritage Foundation, Willamette Industries, Inc., ODFW"
20,19970023,"ODFW, Oregon Wildlife Heritage Foundation, Starker Forests, Inc."
21,19970024,"Green Diamond Resource Company, ODFW, Green Diamond Resource Company, Oregon Wildlife Heritage Foundation"
22,19970025,"Oregon Wildlife Heritage Foundation, ODF, ODFW"
23,19970026,"ODFW, Oregon Wildlife Heritage Foundation, Hancock Timber Resource Group"
24,19970027,"Oregon Wildlife Heritage Foundation, Hancock Timber Resource Group, ODFW"
25,19970028,"Green Diamond Resource Company, Oregon Wildlife Heritage Foundation, Green Diamond Resource Company, ODFW"
26,19970029,"ODFW, Trout Unlimited, Rogue River Guides Association, ODFW, Boise Cascade, Upper Rogue Watershed Council, USFS, Rogue Aggregate Co., Southern Oregon Fly Fishers"
27,19970030,"Oregon Wildlife Heritage Foundation, Weyerhaeuser Company, ODFW, CC&S Crushing"
28,19970031,"Weyerhaeuser Company, Oregon Wildlife Heritage Foundation, CC&S Crushing, ODFW"
29,19970032,Weyerhaeuser Company
30,19970033,"Weyerhaeuser Company, CC&S Crushing, Oregon Wildlife Heritage Foundation, ODFW"
31,19970034,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., Other federal participant, NRCS-NEAI  (see comments), Willamette High School, Siuslaw SWCD, Lane County, ODFW, ODA, Private Landowner"
32,19970036,"Boise Cascade, Oregon Wildlife Heritage Foundation, ODFW"
33,19970037,"Boise Cascade, Oregon Wildlife Heritage Foundation, ODFW"
34,19970038,"ODF, ODFW, ODFW"
35,19970039,"ODFW, Willamette Industries, Inc., ODFW"
36,19970041,"Each project participant has another record.  This record lists Multiple Funding Sources with $ that could not be separated out., City of Salem Public Works, Nichole Building, Inc., Multi-Tech Engineering, McKinley Elementary School, Marion SWCD, ODFW, Supra Products Inc., DSL"
