PROJNUM,NameType
19970001,"['odfw (state agency/university or jobs program (or ownership))', 'eweb (utilities)', 'national fish and wildlife foundation (conservation group)', 'giustina resources (private forest industrial landowner)', 'blm (federal agency or jobs program (or ownership))', 'usfs (federal agency or jobs program (or ownership))', 'weyerhaeuser company (private forest industrial landowner)']"
19970002,['weyerhaeuser company (private forest industrial landowner)']
19970003,"['odfw (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)']"
19970004,"['oregon wildlife heritage foundation (conservation group)', 'stimson lumber company (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970005,"['private landowner (private non-industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)']"
19970006,"['odf (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'odfw (state agency/university or jobs program (or ownership))']"
19970007,"['oregon wildlife heritage foundation (conservation group)', 'odfw (state agency/university or jobs program (or ownership))', 'odf (state agency/university or jobs program (or ownership))']"
19970008,"['odf (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'odfw (state agency/university or jobs program (or ownership))']"
19970009,"['odf (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'odfw (state agency/university or jobs program (or ownership))']"
19970010,"['nygaard logging inc (contractor)', 'odfw (state agency/university or jobs program (or ownership))', 'odf (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'nygaard logging inc (contractor)']"
19970011,"['willamette industries inc (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))', 'private landowner (private non-industrial landowner)', 'national fish and wildlife foundation (conservation group)', 'oregon wildlife heritage foundation (conservation group)']"
19970012,"['willamette industries inc (private forest industrial landowner)', 'oregon wildlife heritage foundation (conservation group)', 'odfw (state agency/university or jobs program (or ownership))']"
19970013,"['odfw (state agency/university or jobs program (or ownership))', 'private landowner (private non-industrial landowner)', 'national fish and wildlife foundation (conservation group)', 'willamette industries inc (private forest industrial landowner)', 'oregon wildlife heritage foundation (conservation group)', 'private landowner (private non-industrial landowner)']"
19970014,"['oregon wildlife heritage foundation (conservation group)', 'willamette industries inc (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970016,"['nygaard logging inc (contractor)', 'odfw (state agency/university or jobs program (or ownership))', 'odfw (state agency/university or jobs program (or ownership))', 'nygaard logging inc (contractor)', 'odf (state agency/university or jobs program (or ownership))']"
19970017,"['nygaard logging inc (contractor)', 'odfw (state agency/university or jobs program (or ownership))', 'odfw (state agency/university or jobs program (or ownership))', 'nygaard logging inc (contractor)', 'odf (state agency/university or jobs program (or ownership))']"
19970019,"['odfw (state agency/university or jobs program (or ownership))', 'willamette industries inc (private forest industrial landowner)', 'oregon wildlife heritage foundation (conservation group)']"
19970020,"['oregon wildlife heritage foundation (conservation group)', 'starker forests inc (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970021,"['willamette industries inc (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'national fish and wildlife foundation (conservation group)', 'private landowner (private non-industrial landowner)', 'private landowner (private non-industrial landowner)', 'private landowner (private non-industrial landowner)']"
19970022,"['oregon wildlife heritage foundation (conservation group)', 'willamette industries inc (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970023,"['odfw (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'starker forests inc (private forest industrial landowner)']"
19970024,"['green diamond resource company (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))', 'green diamond resource company (private forest industrial landowner)', 'oregon wildlife heritage foundation (conservation group)']"
19970025,"['oregon wildlife heritage foundation (conservation group)', 'odf (state agency/university or jobs program (or ownership))', 'odfw (state agency/university or jobs program (or ownership))']"
19970026,"['odfw (state agency/university or jobs program (or ownership))', 'oregon wildlife heritage foundation (conservation group)', 'hancock timber resource group (private forest industrial landowner)']"
19970027,"['oregon wildlife heritage foundation (conservation group)', 'hancock timber resource group (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970028,"['green diamond resource company (private forest industrial landowner)', 'oregon wildlife heritage foundation (conservation group)', 'green diamond resource company (private forest industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
