PROJNUM,Goal,OtherGoal,cfsSpecified
19970001,improve/increase stream structure & complexity,,
19970001,improve/increase stream spawning habitat,,
19970001,improve/increase stream rearing habitat,,
19970001,improve/increase stream pools,,
19970002,improve/increase stream structure & complexity,,
19970002,improve/increase stream spawning habitat,,
19970002,improve/increase stream pools,,
19970003,improve/increase stream rearing habitat,,
19970003,improve/increase stream off-channel habitat,,
19970003,improve/increase stream over-winter habitat,,
19970004,improve/increase stream gravel recruitment,,
19970004,improve/increase stream rearing habitat,,
19970004,improve/increase stream over-winter habitat,,
19970004,improve/increase stream refuge cover,,
19970005,improve/increase stream rearing habitat,,
19970005,improve/increase stream over-winter habitat,,
19970005,improve/increase stream refuge cover,,
19970006,improve/increase stream rearing habitat,,
19970006,improve/increase stream over-winter habitat,,
19970006,improve/increase stream refuge cover,,
19970006,increase future LWD recruitment to stream,,
19970007,improve/increase stream rearing habitat,,
19970007,improve/increase stream over-winter habitat,,
19970007,improve/increase stream refuge cover,,
19970008,improve/increase stream rearing habitat,,
19970008,improve/increase stream over-winter habitat,,
19970008,improve/increase stream refuge cover,,
19970009,improve/increase stream rearing habitat,,
19970009,improve/increase stream over-winter habitat,,
19970009,improve/increase stream refuge cover,,
19970010,improve/increase stream rearing habitat,,
19970010,improve/increase stream over-winter habitat,,
19970010,improve/increase stream refuge cover,,
19970011,improve/increase stream structure & complexity,,
19970011,improve/increase stream interaction with floodplain,,
19970011,improve/increase stream rearing habitat,,
19970011,improve/increase stream pools,,
19970011,improve/increase stream over-winter habitat,,
19970011,increase streambank stabilization/protection,,
19970012,improve/increase stream rearing habitat,,
19970012,improve/increase stream pools,,
19970012,improve/increase stream over-winter habitat,,
19970012,increase future LWD recruitment to stream,,
19970013,improve/increase stream structure & complexity,,
19970013,improve/increase stream interaction with floodplain,,
19970013,improve/increase stream rearing habitat,,
19970013,improve/increase stream pools,,
19970013,improve/increase stream over-winter habitat,,
19970013,increase future LWD recruitment to stream,,
19970014,improve/increase stream structure & complexity,,
19970014,improve/increase stream interaction with floodplain,,
19970014,improve/increase fish passage,,
19970014,improve/increase stream rearing habitat,,
19970014,improve/increase stream pools,,
19970014,improve/increase stream over-winter habitat,,
19970014,increase future LWD recruitment to stream,,
19970014,other,road decommission,
19970016,improve/increase stream structure & complexity,,
19970016,improve/increase stream rearing habitat,,
19970016,improve/increase stream over-winter habitat,,
19970016,improve/increase stream refuge cover,,
19970017,improve/increase stream structure & complexity,,
19970017,improve/increase fish passage,,
19970017,improve/increase stream off-channel habitat,,
19970017,increase streambank stabilization/protection,,
19970019,improve/increase stream structure & complexity,,
19970019,improve/increase stream interaction with floodplain,,
19970019,improve/increase stream rearing habitat,,
19970019,improve/increase stream pools,,
19970019,improve/increase stream over-winter habitat,,
19970019,increase streambank stabilization/protection,,
19970020,improve/increase stream structure & complexity,,
19970020,improve/increase stream interaction with floodplain,,
19970020,improve/increase stream rearing habitat,,
19970020,improve/increase stream pools,,
19970020,improve/increase stream over-winter habitat,,
19970020,other,road decommission,
19970021,improve/increase stream structure & complexity,,
19970021,improve/increase stream interaction with floodplain,,
19970021,improve/increase stream rearing habitat,,
19970021,improve/increase stream over-winter habitat,,
19970022,improve/increase stream structure & complexity,,
19970022,improve/increase stream interaction with floodplain,,
19970022,improve/increase stream rearing habitat,,
19970022,improve/increase stream pools,,
19970022,improve/increase stream over-winter habitat,,
19970023,improve/increase stream structure & complexity,,
19970023,improve/increase stream interaction with floodplain,,
19970023,improve/increase stream rearing habitat,,
19970023,improve/increase stream pools,,
19970023,improve/increase stream over-winter habitat,,
19970023,increase future LWD recruitment to stream,,
19970024,improve/increase stream structure & complexity,,
19970024,improve/increase stream interaction with floodplain,,
19970024,improve/increase stream rearing habitat,,
19970024,improve/increase stream pools,,
19970024,improve/increase stream over-winter habitat,,
19970025,improve/increase stream structure & complexity,,
19970025,improve/increase stream interaction with floodplain,,
19970025,improve/increase stream rearing habitat,,
19970025,improve/increase stream pools,,
19970025,improve/increase stream over-winter habitat,,
19970025,increase future LWD recruitment to stream,,
19970026,improve/increase stream structure & complexity,,
19970026,improve/increase stream interaction with floodplain,,
19970026,improve/increase stream rearing habitat,,
19970026,improve/increase stream pools,,
19970026,improve/increase stream over-winter habitat,,
19970026,improve/increase stream slow water habitat,,
19970027,improve/increase stream structure & complexity,,
19970027,improve/increase stream interaction with floodplain,,
19970027,improve/increase stream rearing habitat,,
19970027,improve/increase stream pools,,
19970027,improve/increase stream over-winter habitat,,
19970028,improve/increase stream structure & complexity,,
19970028,improve/increase stream interaction with floodplain,,
19970028,improve/increase stream gravel recruitment,,
19970028,improve/increase stream rearing habitat,,
19970028,improve/increase stream pools,,
19970028,improve/increase stream over-winter habitat,,
19970029,improve/increase stream structure & complexity,,
19970029,improve/increase stream interaction with floodplain,,
19970029,improve/increase stream flow,,
19970029,improve/increase stream gravel recruitment,,
19970029,improve/increase stream spawning habitat,,
19970029,improve/increase stream rearing habitat,,
19970029,improve/increase stream pools,,
19970029,improve/increase stream over-winter habitat,,
19970029,improve/increase stream summer habitat,,
19970029,improve/increase stream cool water habitat,,
19970029,improve/increase stream slow water habitat,,
19970030,improve/increase stream structure & complexity,,
19970030,improve/increase stream interaction with floodplain,,
19970030,improve/increase stream spawning habitat,,
19970030,improve/increase stream rearing habitat,,
19970030,improve/increase stream pools,,
19970030,improve/increase stream over-winter habitat,,
19970030,improve/increase stream slow water habitat,,
19970031,improve/increase stream spawning habitat,,
19970031,improve/increase stream over-winter habitat,,
19970032,increase future LWD recruitment to stream,,
19970033,improve/increase stream spawning habitat,,
19970033,improve/increase stream over-winter habitat,,
19970034,improve/increase stream rearing habitat,,
19970034,improve/increase stream pools,,
19970034,improve/increase stream over-winter habitat,,
19970034,improve/increase stream summer habitat,,
19970034,improve/increase stream refuge cover,,
19970034,"increase nutrient input to stream (e.g. plant material, salmon carcasses)",,
19970036,improve/increase stream gravel recruitment,,
19970036,improve/increase stream rearing habitat,,
19970036,improve/increase stream over-winter habitat,,
19970036,improve/increase stream refuge cover,,
19970037,improve/increase stream pools,,
19970037,improve/increase stream refuge cover,,
19970038,improve/increase stream structure & complexity,,
19970038,improve/increase stream rearing habitat,,
19970038,improve/increase stream over-winter habitat,,
19970039,improve/increase stream structure & complexity,,
19970039,improve/increase fish passage,,
19970039,improve/increase stream over-winter habitat,,
19970041,increase streambank stabilization/protection,,
19970041,decrease erosion/stream sedimentation,,
19970041,education,,
19970041,other,"control flooding, raise community awareness, develop educational program",
19970042,increase future stream shading/increase vegetation to provide shade,,
19970042,decrease erosion/stream sedimentation,,
19970042,decrease stream temperature,,
19970042,"increase wildlife habitat (vegetation for food, cover, or nesting)",restore aquatic/upland/mammalian habitat,
19970042,other,"nutrient absorption (haz waste spills), create green space",
19970043,improve/increase stream pools,,
19970043,improve/increase stream refuge cover,,
19970044,improve/increase stream gravel recruitment,,
19970045,improve/increase fish passage,,
19970046,improve/increase fish passage,,
19970047,increase streambank stabilization/protection,,
19970047,decrease erosion/stream sedimentation,,
19970047,other,"improve habitat, sustainable forestry practices, improve recreational benefits",
19970053,improve/increase stream over-winter habitat,,
19970055,improve/increase stream structure & complexity,,
19970055,improve/increase stream refuge cover,,
19970072,increase streambank stabilization/protection,,
19970072,decrease erosion/stream sedimentation,,
19970072,decrease stream temperature,,
19970072,decrease livestock access to stream,,
19970073,increase streambank stabilization/protection,,
19970073,decrease erosion/stream sedimentation,,
19970073,decrease stream temperature,,
19970073,decrease livestock access to stream,,
19970074,increase streambank stabilization/protection,,
19970074,decrease erosion/stream sedimentation,,
19970074,other,protect bridge and business,
19970075,increase streambank stabilization/protection,,
19970076,increase future stream shading/increase vegetation to provide shade,,
19970076,decrease livestock access to stream,,
19970077,increase future stream shading/increase vegetation to provide shade,,
19970077,decrease livestock access to stream,,
19970078,increase future stream shading/increase vegetation to provide shade,,
19970078,decrease livestock access to stream,,
19970079,increase future stream shading/increase vegetation to provide shade,,
19970079,decrease livestock access to stream,,
19970080,increase future stream shading/increase vegetation to provide shade,,
19970080,increase streambank stabilization/protection,,
19970081,increase future stream shading/increase vegetation to provide shade,,
19970081,increase streambank stabilization/protection,,
19970087,increase future LWD recruitment to stream,,
19970087,increase future stream shading/increase vegetation to provide shade,,
19970088,increase future stream shading/increase vegetation to provide shade,,
19970088,increase streambank stabilization/protection,,
19970089,improve/increase stream gravel recruitment,,
19970089,improve/increase fish passage,,
19970089,improve/increase stream pools,,
19970089,increase streambank stabilization/protection,,
19970089,decrease erosion/stream sedimentation,,
19970090,improve/increase stream structure & complexity,,
19970091,improve/increase stream structure & complexity,,
19970091,improve/increase stream refuge cover,,
19970092,improve/increase stream structure & complexity,,
19970092,improve/increase stream refuge cover,,
19970093,improve/increase stream off-channel habitat,,
19970093,improve/increase stream over-winter habitat,,
19970093,increase streambank stabilization/protection,,
19970093,decrease livestock access to stream,,
19970094,improve/increase stream spawning habitat,,
19970094,increase future stream shading/increase vegetation to provide shade,,
19970094,increase streambank stabilization/protection,,
19970094,decrease erosion/stream sedimentation,,
19970094,decrease livestock access to stream,,
19970095,improve/increase stream spawning habitat,,
19970095,increase future stream shading/increase vegetation to provide shade,,
19970095,increase streambank stabilization/protection,,
19970095,decrease erosion/stream sedimentation,,
19970095,decrease livestock access to stream,,
19970095,other,"protect wildlife pond, improve pasture mgt",
19970096,improve/increase stream gravel recruitment,,
19970096,improve/increase stream rearing habitat,,
19970096,improve/increase stream over-winter habitat,,
19970096,increase future LWD recruitment to stream,,
19970096,increase future stream shading/increase vegetation to provide shade,,
19970096,increase streambank stabilization/protection,,
19970096,decrease livestock access to stream,,
19970097,increase future LWD recruitment to stream,,
19970097,increase future stream shading/increase vegetation to provide shade,,
19970097,increase streambank stabilization/protection,,
19970097,decrease erosion/stream sedimentation,,
19970097,decrease livestock access to stream,,
19970098,increase future LWD recruitment to stream,,
19970098,increase future stream shading/increase vegetation to provide shade,,
19970098,increase streambank stabilization/protection,,
