PROJNUM,GrantNum
19970001,
19970001,
19970001,
19970001,
19970001,
19970001,
19970001,
19970002,
19970003,
19970003,
19970004,
19970004,
19970004,
19970005,
19970005,
19970005,
19970006,
19970006,
19970006,
19970007,
19970007,
19970007,
19970008,
19970008,
19970008,
19970009,
19970009,
19970009,
19970010,
19970010,
19970010,
19970010,
19970010,
19970011,
19970011,
19970011,
19970011,
19970011,
19970012,
19970012,
19970012,
19970013,
19970013,
19970013,
19970013,
19970013,
19970014,
19970014,
19970014,
19970016,
19970016,
19970016,
19970016,
19970016,
19970017,
19970017,
19970017,
19970017,
19970017,
19970019,
19970019,
19970019,
19970020,
19970020,
19970020,
19970021,
19970021,
19970021,
19970021,
19970021,
19970022,
19970022,
19970022,
19970023,
19970023,
19970023,
19970024,
19970024,
19970024,
19970024,
19970025,
19970025,
19970025,
19970026,
19970026,
19970026,
19970027,
19970027,
19970027,
19970028,
19970028,
19970028,
19970028,
19970029,
19970029,
19970029,
19970029,
19970029,
19970029,
19970029,
19970029,
19970029,
19970030,
19970030,
19970030,
19970030,
19970031,
19970031,
19970031,
19970031,
19970032,
19970033,
19970033,
19970033,
19970033,
19970034,
19970034,
19970034,
19970034,
19970034,
19970034,
19970034,
19970034,
19970034,
19970036,
19970036,
19970036,
19970037,
19970037,
19970037,
19970038,
19970038,
19970038,?-?
19970039,
19970039,
19970039,
19970041,
19970041,
19970041,
19970041,
19970041,
19970041,
19970041,
19970041,
19970041,
19970042,
19970042,
19970042,
19970042,
19970042,
19970042,
19970042,
19970042,
19970042,
19970042,
19970043,
19970043,
19970044,
19970044,
19970045,
19970045,
19970046,
19970046,
19970046,
19970047,
19970047,
19970047,
19970047,
19970047,
19970047,
19970047,
19970053,
19970053,
19970055,
19970055,
19970072,
19970072,
19970072,
19970072,
19970073,
19970073,
19970073,
19970073,
19970074,
19970074,
19970074,
19970074,
19970075,
19970075,
19970075,
19970075,
19970076,
19970076,
19970076,
19970076,
19970077,
19970077,
19970077,
19970077,
19970078,
19970078,
19970078,
19970078,
19970079,
19970079,
19970079,
19970079,
19970080,
19970080,
19970080,
19970080,
19970081,
19970081,
19970081,
19970081,
19970087,
19970087,
19970087,
19970087,
19970088,
19970088,
19970088,
19970088,
19970089,
19970089,
19970089,
19970089,
19970089,SC-042
19970089,
19970090,
19970090,
19970090,
19970090,
19970090,
19970090,
19970090,
19970091,
19970091,
19970091,
19970091,
19970091,
19970091,
19970092,
19970092,
19970092,
19970093,
19970093,
19970093,
19970093,
19970093,
19970093,
19970093,
19970093,
19970093,
19970093,
19970094,
19970094,
19970094,
19970094,
19970094,
19970094,
19970095,
19970095,
19970095,
19970095,
19970095,
19970095,
19970096,
19970096,
19970096,
19970096,
19970097,
19970097,
19970097,
19970097,
19970097,
19970098,
19970098,
19970098,
19970098,
19970099,
19970099,
19970099,
19970099,
19970100,
19970100,
19970100,
19970101,
19970101,
19970102,
19970102,
19970102,
19970105,
19970105,
19970105,
19970105,
19970108,
19970108,
19970112,
19970112,
19970112,
19970112,
19970112,
19970112,
19970112,
19970112,
19970112,
19970112,?-?
19970112,
19970113,
19970113,
19970113,95-017
19970113,
19970113,
19970123,
19970123,
19970123,
19970123,
19970123,
19970124,
19970124,
19970124,
19970124,
19970125,
19970125,
19970125,
19970125,
19970127,
19970127,
19970127,
19970127,
19970129,
19970129,
19970129,
19970129,
19970133,
19970133,
19970133,
19970133,
19970134,
19970134,
19970134,
19970134,
19970136,
19970136,
19970136,
19970136,
19970137,
19970137,
19970137,
19970137,
19970138,
19970138,
19970138,
19970138,
19970139,
19970139,
19970139,
19970139,
19970142,SC-001
19970142,
19970142,
19970142,
19970143,
19970143,
19970143,
19970143,
19970143,SC-017
19970143,
19970144,
19970144,
19970144,
19970144,
19970144,SC-073
19970145,16-96
19970145,
19970145,
19970145,
19970146,
19970146,
19970146,
19970146,
19970146,
19970146,
19970237,
19970237,
19970237,
19970237,
19970246,
19970246,
19970246,
19970246,
19970246,
19970255,
19970255,
19970255,
19970255,
19970255,
19970255,
19970257,
19970257,
19970257,
19970257,
19970257,
19970397,
19970397,
19970397,
19970397,
19970398,
19970398,
19970399,
19970399,
19970399,
19970400,
19970400,
19970401,
19970402,
19970402,
19970402,
19970409,
19970409,
19970409,
19970410,
19970410,
19970410,
19970411,
19970411,
19970413,
19970413,
19970415,
19970415,
19970415,
19970415,
19970416,
19970416,
19970416,
19970416,
19970416,
19970417,
19970417,
19970418,
19970418,
19970418,
19970418,
19970418,
19970418,
19970418,
19970419,
19970419,
19970419,
19970419,
19970420,
19970420,
19970420,
19970420,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970421,
19970422,
19970422,
19970422,
19970422,
19970422,
19970422,
19970422,
19970422,
19970422,
19970423,
19970423,
19970423,
19970423,
19970423,
19970424,
19970424,
19970424,
19970424,
19970424,
19970424,
19970424,
19970424,
19970425,
19970425,
19970425,SC-007
19970426,
19970426,
19970426,SC-007
19970427,SC-007
19970427,
19970427,
19970428,
19970428,SC-007
19970428,
19970428,
19970429,
19970429,
19970429,SC-007
19970429,
19970430,
19970430,SC-007
19970430,
19970431,
19970431,93-039
19970431,
19970432,
19970432,
19970432,93-039
19970433,
19970433,
19970433,
19970433,
19970434,93-039
19970434,
19970434,
19970436,
19970436,
19970436,SC-007
19970437,
19970437,
19970437,SC-007
19970438,
19970438,SC-007
19970438,
19970439,
19970439,SC-007
19970439,93-039
19970439,
19970440,
19970440,
19970440,SC-007
19970441,
19970441,
19970441,
19970441,SC-007
19970442,
19970442,SC-007
19970442,
19970445,
19970445,
19970447,
19970447,
19970447,
19970447,
19970448,
19970448,
19970448,
19970448,
19970449,
19970449,
19970449,
19970450,
19970450,
19970452,
19970452,
19970452,
19970452,
19970453,
19970453,
19970453,
19970453,
19970454,
19970454,
19970454,
19970454,
19970454,
19970455,
19970455,
19970455,
19970455,
19970456,
19970456,
19970456,
19970456,
19970457,
19970457,
19970457,
19970457,
19970468,
19970468,
19970468,
19970468,
19970469,
19970469,
19970469,
19970469,
19970470,
19970470,
19970470,
19970470,
19970470,
19970471,
19970471,
19970471,
19970471,
19970471,
19970471,
19970472,
19970472,
19970472,
19970472,
19970473,
19970473,
19970473,
19970474,
19970474,
19970474,
19970474,
19970474,
19970476,
19970476,
19970476,
19970476,
19970481,
19970481,
19970481,
19970481,
19970484,
19970484,
19970488,
19970488,
19970489,
19970489,
19970490,
19970490,
19970492,
19970492,
19970492,
19970493,
19970493,
19970495,
19970495,
19970495,
19970497,
19970497,
19970519,SC-009
19970519,
19970519,
19970519,
19970519,
19970520,SC-009
19970520,
19970520,
19970520,
19970520,
19970521,
19970521,
19970521,
19970521,
19970522,
19970522,
19970522,
19970523,SC-009
19970523,
