PROJNUM,ProjName,BasinActual,SubbasinActual,County,StartYear,CompleteYear
19970001,McKenzie River Bull Trout Project,Willamette,McKenzie,Lane,1996,1996
19970002,South Fork Deer Creek,Willamette,McKenzie,Lane,1996,1996
19970003,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Clatsop,1996,1996
19970004,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Washington,1996,1996
19970005,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Washington,1996,1996
19970006,North Coast Stream Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1996,1996
19970007,North Coast Stream Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1996,1996
19970008,North Coast Stream Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1996,1996
19970009,North Coast Stream Project,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1996,1996
19970010,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Clatsop,1996,1996
19970011,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970012,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970013,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970014,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970016,Sweethome Creek,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970017,Hamilton Creek,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970019,Mid-Coast Stream Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970020,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970021,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970022,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970023,Mid-Coast Stream Project,Northern Oregon Coastal,Alsea,Benton,1996,1996
19970024,Eddy Creek,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970025,Wolf Creek Project 96-34505,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970026,Mid-Coast Stream Project,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970027,Mid-Coast Stream Project,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970028,Mid-Coast Stream Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970029,West Fork Trail Creek Habitat Improvement Project,Southern Oregon Coastal,Upper Rogue,Jackson,1996,1997
19970030,Mid-Coast Stream Project,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970031,Mid-Coast Stream Project,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970032,Walker Creek RMA Conifer Release,Willamette,Coast Fork Willamette,Lane,1996,1996
19970033,Mid-Coast Stream Project,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970034,Miller Creek Unit,Northern Oregon Coastal,Siuslaw,Lane,1994,1996
19970036,Mid-Coast Stream Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970037,Mid-Coast Stream Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970038,South Fork Trask River,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1996,1996
19970039,"North Coast Stream Project, 96-521-11407",Northern Oregon Coastal,Nehalem,Clatsop,1996,1996
19970041,Supra Projects Stream Project,Willamette,Middle Willamette,Marion,1996,1996
19970042,W Middle Fk Pringle Creek Restoration Project,Willamette,Middle Willamette,Marion,1996,1996
19970043,Rock Creek LWD Placement,Southern Oregon Coastal,Umpqua,Douglas,1996,1996
19970044,South Fork Gate Creek LWD Placement,Willamette,McKenzie,Lane,1996,1996
19970045,S Fk Gate Creek Culvert,Willamette,McKenzie,Lane,1996,1996
19970046,Big Cut Road Culvert,Willamette,McKenzie,Lane,1996,1996
19970047,Instream Habitat Improvement,Northern Oregon Coastal,Nehalem,Washington,1996,1996
19970053,E. Beaver Creek log/boulder structures,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1995
19970055,Bays Creek logs/boulders,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970072,Condor Bridge Streambank Stabilization,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970073,Gist Road Streambank Stabilization,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970074,Cloverdale Bridge Streambank Stabilization,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970075,East Beaver Creek Streambank Stabilization,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970076,Nestucca River Mainstem and Boulder Creek Restoration,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970077,East Beaver Creek Restoration,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970078,Nestucca Mainstem and Smith Creek Restoration,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970079,Nestucca Mainstem and George Creek Restoration,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970080,Three Rivers Planting,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970081,Three Rivers Planting,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970087,Wolfe Creek Restoration,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970088,DEQ Demo Project-Gist Road,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,0,1996
19970089,Indian Creek Watershed Restoration Project  SC-42,Southern Oregon Coastal,Lower Rogue,Curry,1995,1997
19970090,Euchre Creek Christmas Tree Placement,Southern Oregon Coastal,Sixes,Curry,1996,1996
19970091,Winchuck Estuary Christmas Tree Placement,Southern Oregon Coastal,Chetco,Curry,1996,1996
19970092,Winchuck Estuary Rootwad Placement Project,Southern Oregon Coastal,Chetco,Curry,1995,1995
19970093,Jack Creek Project,Southern Oregon Coastal,Chetco,Curry,1996,1996
19970094,Drift Creek Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970095,Drift Creek Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970096,,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970097,,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1997
19970098,,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970099,Hatchery Site,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970100,North Yamhill Stream Enhancement,Willamette,Yamhill,Yamhill,1996,1996
19970101,,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970102,,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970105,North Coast Stream Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970108,Tomlison Crk Alder Conversion,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1995,1995
19970112,Condon Creek Stream Enhancement Project,Northern Oregon Coastal,Siuslaw,Lane,1995,1995
19970113,N/A,Northern Oregon Coastal,Alsea,Lincoln,1995,1995
19970123,West Fork Agency Creek,Willamette,Yamhill,Yamhill,1995,1995
19970124,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970125,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970127,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970129,,Northern Oregon Coastal,Nehalem,Columbia,0,1995
19970133,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970134,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970136,,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970137,,Northern Oregon Coastal,Nehalem,Columbia,1995,0
19970138,,Northern Oregon Coastal,Nehalem,Columbia,1994,1995
19970139,,Northern Oregon Coastal,Nehalem,Columbia,1995,0
19970142,Fourth Street Creek (SC-001),Southern Oregon Coastal,Coquille,Coos,1996,1996
19970143,Coquille River Culvert Restoration Project,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970144,Dement Creek (SC-73),Southern Oregon Coastal,Coquille,Coos,0,0
19970145,Isenhart Wash (#16-96),Southern Oregon Coastal,Coquille,Coos,1995,1995
19970146,Wash (#13-96),Southern Oregon Coastal,Coquille,Coos,1995,1995
19970237,Pistol River Stream Habitat Improvement,Southern Oregon Coastal,Chetco,Curry,1996,1996
19970246,Winchuck Riparian Habitat Improvement,Southern Oregon Coastal,Chetco,Curry,1996,1997
19970255,Winchuck Riparian Habitat Improvement,Southern Oregon Coastal,Chetco,Curry,1995,1995
19970257,Chetco Riparian Enhancement/Livestock Watering,Southern Oregon Coastal,Chetco,Curry,1996,1996
19970397,Blow down salvage,Northern Oregon Coastal,Nehalem,Columbia,1996,0
19970398,WEST FORK COAL CREEK THIN,Northern Oregon Coastal,Nehalem,Tillamook,1996,1996
19970399,NORTH FORK OVERLOOK CC,Northern Oregon Coastal,Nehalem,Clatsop,1996,1996
19970400,4N8WSEC4 SALVAGE,Northern Oregon Coastal,Nehalem,Clatsop,1996,1996
19970401,West Fork Trail Creek,Southern Oregon Coastal,Upper Rogue,Jackson,1996,1997
19970402,Grave Creek Riparian Planting,Southern Oregon Coastal,Lower Rogue,Jackson,1997,1997
19970409,Mill Creek 1996,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970410,Sunshine Creek Rock Weir,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970411,Palmer Creek Culvert,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1997,1997
19970413,Camas Creek,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970415,Waite Creek,Northern Oregon Coastal,Siuslaw,Lane,0,1996
19970416,Hula Creek,Northern Oregon Coastal,Siuslaw,Lane,1996,1996
19970417,,Northern Oregon Coastal,Nehalem,Clatsop,0,1996
19970418,McLeod Creek,Northern Oregon Coastal,Siuslaw,Lane,0,1996
19970419,Lower Delph Creek,Willamette,Clackamas,Clackamas,1996,1996
19970420,Upper Delph Creek,Willamette,Clackamas,Clackamas,1996,1996
19970421,Tenmile Creek Watershed Restoration Project,Northern Oregon Coastal,Alsea,Lane,1996,1997
19970422,Spencer Creek Habitat Restoration Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970423,Big Rock Creek Fish Habitat Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,0
19970424,Drift Creek Habitat Project,Northern Oregon Coastal,Siletz-Yaquina,Lincoln,1996,1996
19970425,Hudson Creek Pond,Southern Oregon Coastal,Coquille,Coos,1997,1997
19970426,N Fk Weirs/Channel Reconnect,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970427,Bear Creek Pond,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970428,Wapiti Creek LWD,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970429,15-B LWD,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970430,Fencing & Planting,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970431,Overwinter Habitat Ponds on Palouse Creek,Southern Oregon Coastal,Coos,Coos,1996,1996
19970432,Weyco E Fk Weirs,Southern Oregon Coastal,Coos,Coos,1996,1996
19970433,Clear Creek Spawning Habitat,Southern Oregon Coastal,Coos,Coos,1996,1996
19970434,Sullivan Creek LWD,Southern Oregon Coastal,Coos,Coos,1996,1996
19970436,Middle Creek Pond Fencing and Planting,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970437,Fencing and Planting,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970438,Fencing and Planting,Southern Oregon Coastal,Coquille,Coos,1994,1995
19970439,Fencing and Planting,Southern Oregon Coastal,Coquille,Coos,1994,1995
19970440,Fencing and Planting/Pond Enhancement,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970441,Llewellyn Cr Fencing and Planting/Pond,Southern Oregon Coastal,Coquille,Coos,1995,1996
19970442,Pond,Southern Oregon Coastal,Coquille,Coos,1996,1996
19970445,Grave Creek Stream Enhancement,Southern Oregon Coastal,Lower Rogue,Jackson,1995,1995
19970447,"OWHF North Coast Sal Hab Proj, #95-521-11437",Northern Oregon Coastal,Necanicum,Clatsop,1995,1995
19970448,"OWHF North Coast Sal Hab Proj, # 95-521-11331",Northern Oregon Coastal,Necanicum,Clatsop,1995,1995
19970449,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Tillamook,1995,1995
19970450,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970452,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970453,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970454,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970455,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970456,OWHF North Coast Sal Hab Proj,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1995,1995
19970457,OWHF North Coast Sal Hab Proj,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1995,1995
19970468,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Columbia,1995,1995
19970469,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970470,OWHF North Coast Salmon Habitat Project,Northern Oregon Coastal,Nehalem,Clatsop,1995,1995
19970471,OWHF North Coast Sal Hab Proj,Northern Oregon Coastal,Wilson-Trask-Nestucca,Tillamook,1995,1995
19970472,"OWHF North Coast Sal Hab Proj, #95-521-11331",Northern Oregon Coastal,Necanicum,Clatsop,1995,1995
