PermitID,PROJNUM,ProjectID,PermitTypeLUID,PermitType,PermitNumber,PermitDescriptor,Remark
1,19970030,28,1,DSL,11800,GA,
2,19970031,29,1,DSL,11804,GA,
3,19970033,31,1,DSL,11803,GA,
6977,19970039,36,2,ODF,96-521-11407,,
4,19970534,173,1,DSL,8836,,
6964,19970617,208,2,ODF,95-740-61052,,
6965,19970620,210,2,ODF,95-740-60050,,
6966,19970621,211,2,ODF,95-740-60542,,
7042,19970819,399,2,ODF,95-552-30704,,
7043,19970820,400,2,ODF,97-552-30083,,
7044,19970821,401,2,ODF,97-552-30053,,
7045,19970822,402,2,ODF,96-552-31045,,
7046,19970823,403,2,ODF,96-552-30079,,
7047,19970824,404,2,ODF,96-552-30755,,
7048,19970825,405,2,ODF,96-552-30080,,
7049,19970826,406,2,ODF,96-552-30081,,
7050,19970827,407,2,ODF,96-552-30072,,
7051,19970828,408,2,ODF,96-552-30076,,
7052,19970829,409,2,ODF,95-522-30126,,
7053,19970830,410,2,ODF,96-552-31047,,
7054,19970831,411,2,ODF,97-552-30077,,
7071,19970832,412,2,ODF,97-553-37087,,
7055,19970833,413,2,ODF,97-553-37125,,
7056,19970834,414,2,ODF,97-553-37129,,
7057,19970835,415,2,ODF,97-553-37044,,
7058,19970836,416,2,ODF,95-552-30686,,
7059,19970837,417,2,ODF,96-552-30078,,
7060,19970838,418,2,ODF,94-553-37979R,,
7061,19970839,419,2,ODF,95-553-37427,,
7062,19970840,420,2,ODF,96-553-37390,,
7063,19970841,421,2,ODF,96-553-37442,,
7064,19970842,422,2,ODF,95-553-37751,,
7065,19970843,423,2,ODF,94-552-30585R,,
7066,19970844,424,2,ODF,95-552-30729,,
7072,19970847,427,2,ODF,97-551-34082,,
7073,19970848,428,2,ODF,97-551-34792,,
7074,19970849,429,2,ODF,97-551-34098,,
7075,19970853,433,2,ODF,97-551-34785,,
7076,19970854,434,2,ODF,96-553-37816,,
7077,19970862,442,2,ODF,96-551-34828,,
7067,19970867,447,2,ODF,96-552-30233,,
7083,19970900,476,2,ODF,97-511-15114,,
6978,19970904,479,2,ODF,97-521-11098,,
6979,19970905,480,2,ODF,97-521-11339,,
6980,19970906,481,2,ODF,97-521-11338,,
6981,19970907,482,2,ODF,97-521-11244,,
6982,19970908,483,2,ODF,97-511-15150,,
6983,19970909,484,2,ODF,97-511-15150,,
6984,19970910,485,2,ODF,97-511-15150,,
6985,19970911,486,2,ODF,97-511-15151,,
6986,19970912,487,2,ODF,97-511-15151,,
6987,19970913,488,2,ODF,97-511-15151,,
6988,19970914,489,2,ODF,97-511-15154,,
6989,19970915,490,2,ODF,97-511-15154,,
6990,19970916,491,2,ODF,97-521-11260,,
6991,19970917,492,2,ODF,97-521-11337,,
6992,19970918,493,2,ODF,97-521-11365,,
6993,19970919,494,2,ODF,96-521-11336,,
6994,19970920,495,2,ODF,96-521-11354,,
6995,19970921,496,2,ODF,96-521-11361,,
6996,19970922,497,2,ODF,96-521-11338,,
6997,19970923,498,2,ODF,96-521-11337,,
6998,19970924,499,2,ODF,96-521-11339,,
6999,19970925,500,2,ODF,96-521-11335,,
7000,19970926,501,2,ODF,96-521-11340,,
7001,19970927,502,2,ODF,96-521-11342,,
7002,19970928,503,2,ODF,95-521-11384,,
7003,19970929,504,2,ODF,95-521-11384,,
7004,19970930,505,2,ODF,95-521-11384,,
7005,19970931,506,2,ODF,95-521-11384,,
7006,19970932,507,2,ODF,95-521-11384,,
7007,19970933,508,2,ODF,95-511-15142,,
7008,19970934,509,2,ODF,97-511-15035,,
7009,19970935,510,2,ODF,97-511-15076,,
7010,19970936,511,2,ODF,96-511-15201,,
7011,19970937,512,2,ODF,96-511-15291,,
7012,19970938,513,2,ODF,96-521-11449,,
7013,19970939,514,2,ODF,96-521-11596,,
7014,19970940,515,2,ODF,96-521-11366,,
7015,19970941,516,2,ODF,96-521-11593,,
7016,19970942,517,2,ODF,97-521-11021,,
7017,19970943,518,2,ODF,96-521-11586,,
7018,19970944,519,2,ODF,97-521-11001,,
7019,19970945,520,2,ODF,96-521-11568,,
7020,19970946,521,2,ODF,96-521-11397,,
