PROJNUM,ActivityType
19970001,Instream
19970002,Instream
19970003,Instream
19970004,Instream
19970005,Instream
19970006,Combined
19970007,Instream
19970008,Instream
19970009,Instream
19970010,Instream
19970011,Instream
19970012,Instream
19970013,Combined
19970014,Combined
19970016,Instream
19970017,Combined
19970019,Combined
19970020,Combined
19970021,Instream
19970022,Instream
19970023,Combined
19970024,Instream
19970025,Combined
19970026,Instream
19970027,Instream
19970028,Combined
19970029,Instream
19970030,Instream
19970031,Instream
19970032,Riparian
19970033,Instream
19970034,Instream
19970036,Instream
19970037,Instream
19970038,Instream
19970039,Combined
19970041,Combined
19970042,Combined
19970043,Instream
19970044,Instream
19970045,Fish Passage
19970046,Fish Passage
19970047,Combined
19970053,Instream
19970055,Instream
19970072,Instream
19970072,Riparian
19970073,Instream
19970073,Riparian
19970074,Instream
19970074,Riparian
19970075,Instream
19970075,Riparian
19970076,Riparian
19970076,Upland
19970077,Riparian
19970077,Upland
19970078,Riparian
19970078,Upland
19970079,Riparian
19970079,Upland
19970080,Riparian
19970081,Riparian
19970087,Riparian
19970088,Instream
19970088,Riparian
19970089,Combined
19970090,Instream
19970091,Instream
19970092,Instream
19970093,Combined
19970094,Combined
19970095,Combined
19970096,Riparian
19970096,Upland
19970097,Riparian
19970097,Upland
19970098,Riparian
19970099,Riparian
19970100,Combined
19970101,Instream
19970102,Instream
19970105,Instream
19970108,Riparian
19970112,Combined
19970113,Combined
19970123,Combined
19970124,Riparian
19970125,Riparian
19970127,Riparian
19970129,Instream
19970129,Riparian
19970133,Riparian
19970134,Riparian
19970136,Riparian
19970137,Riparian
19970138,Riparian
19970139,Riparian
19970142,Combined
19970143,Fish Passage
19970144,Combined
19970145,Combined
19970146,Combined
19970237,Instream
19970246,Riparian
19970255,Riparian
19970257,Riparian
19970257,Upland
19970397,Instream
19970398,Instream
19970399,Instream
19970400,Instream
19970401,Riparian
19970401,Road
19970402,Riparian
19970409,Combined
19970410,Instream
19970411,Fish Passage
19970413,Instream
19970415,Instream
19970416,Combined
19970417,Combined
19970418,Instream
19970419,Combined
19970420,Combined
19970421,Combined
19970422,Combined
19970423,Combined
19970424,Instream
19970425,Instream
19970426,Instream
19970427,Instream
19970428,Instream
19970429,Instream
19970430,Combined
19970431,Instream
19970432,Instream
19970433,Instream
19970434,Instream
19970436,Combined
19970437,Riparian
19970438,Riparian
19970439,Combined
19970440,Combined
19970441,Combined
19970442,Instream
19970445,Instream
19970447,Instream
19970448,Instream
19970449,Instream
19970450,Instream
19970452,Combined
19970453,Instream
19970454,Instream
19970455,Instream
19970456,Instream
19970457,Instream
19970468,Instream
19970469,Instream
19970470,Instream
19970471,Instream
19970472,Combined
19970473,Instream
19970474,Instream
19970476,Instream
19970481,Instream
19970484,Riparian
19970484,Road
19970488,Riparian
19970488,Road
19970489,Riparian
19970489,Road
19970490,Riparian
19970490,Road
19970492,Riparian
19970492,Road
19970493,Road
19970495,Combined
19970497,Instream
19970519,Instream
19970520,Instream
19970521,Instream
19970522,Instream
19970523,Fish Passage
19970525,Instream
19970526,Road
19970527,Road
19970528,Road
19970529,Fish Passage
19970531,Riparian
19970532,Instream
19970534,Instream
19970535,Instream
19970536,Instream
19970538,Instream
19970544,Instream
19970545,Instream
19970547,Fish Passage
19970549,Fish Passage
19970550,Instream
19970552,Instream
19970553,Instream
19970554,Combined
19970556,Instream
19970557,Instream
19970561,Upland
19970562,Combined
19970563,Upland
19970564,Combined
19970565,Instream
19970566,Instream
19970569,Fish Passage
19970570,Combined
19970571,Instream
19970572,Instream
19970573,Instream
19970575,Instream
19970577,Instream
19970578,Instream
19970581,Instream
19970582,Fish Passage
19970583,Instream
19970584,Combined
19970607,Combined
19970608,Combined
19970609,Combined
19970617,Riparian
19970620,Riparian
19970621,Riparian
19970623,Instream
19970624,Combined
19970625,Combined
19970629,Instream
19970630,Instream
19970631,Instream
19970632,Instream
19970633,Instream
19970634,Instream
19970635,Riparian
19970636,Riparian
19970637,Riparian
19970638,Riparian
19970639,Riparian
19970640,Riparian
19970641,Riparian
19970642,Road
19970643,Riparian
19970644,Fish Passage
19970645,Road
19970646,Instream
19970647,Instream
19970648,Instream
19970649,Instream
19970650,Instream
19970651,Instream
19970653,Instream
19970654,Instream
19970655,Instream
19970656,Instream
19970657,Instream
19970657,Riparian
19970657,Fish Passage
19970658,Instream
19970658,Riparian
19970658,Upland
19970659,Instream
19970659,Riparian
19970661,Fish Passage
19970662,Instream
19970663,Instream
19970663,Riparian
19970663,Upland
19970665,Instream
19970666,Riparian
19970667,Riparian
19970668,Riparian
19970669,Riparian
19970670,Riparian
19970671,Riparian
19970672,Riparian
19970674,Fish Passage
19970675,Fish Passage
19970676,Combined
19970677,Road
19970678,Road
19970679,Road
19970680,Road
19970681,Road
19970682,Road
19970683,Road
19970684,Road
19970685,Road
19970686,Road
19970687,Road
19970688,Road
19970689,Instream
19970690,Fish Passage
19970691,Combined
