change_indicator,pre_review,post_review,possible_matches
0,007 ranch,007 ranch,{'7z ranch'}
0,6 ranch,6 ranch,{'96 ranch'}
0,7 bar ranch,7 bar ranch,"{'bar 97 ranch', 'b bar b ranch', 'a h bar ranch'}"
0,7 f ranch,7 f ranch,{'7z ranch'}
0,7 mile creek ranch,7 mile creek ranch,"{'pine creek ranch', 'mill creek ranch'}"
0,7z ranch,7z ranch,"{'007 ranch', 'iz ranch', '7 f ranch'}"
0,96 ranch,96 ranch,{'6 ranch'}
0,a h bar ranch,a h bar ranch,{'7 bar ranch'}
0,a k ranch,a k ranch,"{'kv bar ranch', 'akal ranch'}"
0,adel water improvement district,adel water improvement district,"{'devils lake water improvement district', 'badger improvement district'}"
0,adrian school district,adrian school district,"{'astoria school district', 'school district 9', 'condon school district', 'creslane school district'}"
0,agency ranch,agency ranch,"{'page ranch', 'gentry ranch'}"
0,akal ranch,akal ranch,{'a k ranch'}
0,alsea watershed council,alsea watershed council,"{'clatsop watershed council', 'chetco watershed council', 'calapooia watershed council', 'coquille watershed council'}"
0,amar properties,amar properties,{'avery properties'}
0,andersen ranches,andersen ranches,"{'andre ranches', 'anderson ranches', 'anderson ranch'}"
0,andre ranches,andre ranches,"{'anderson ranches', 'd r ranches', 'andersen ranches'}"
0,ap timber llc,ap timber llc,{'evans timber llc'}
0,arnold irrigation district,arnold irrigation district,"{'south board irrigation district', 'dee irrigation district'}"
0,arriens ranch,arriens ranch,{'harrison ranch'}
0,ashland high school,ashland high school,"{'bandon high school', 'dallas high school'}"
0,astoria school district,astoria school district,{'adrian school district'}
0,audubon society,audubon society,{'salem audubon society'}
0,avery properties,avery properties,{'amar properties'}
0,avila farms,avila farms,{'arriola farms'}
0,b bar b ranch,b bar b ranch,{'7 bar ranch'}
0,badger improvement district,badger improvement district,"{'adel water improvement district', 'big butte district improvement'}"
0,baker county parks department,baker county parks department,"{'columbia county parks department', 'baker county road department'}"
0,baker county road department,baker county road department,"{'baker county parks department', 'coos county road department', 'columbia county road department', 'clackamas county road department', 'columbia county roads department'}"
0,baker valley irrigation district,baker valley irrigation district,{'swalley irrigation district'}
0,bandon high school,bandon high school,{'ashland high school'}
0,banks elementary school,banks elementary school,{'bonanza elementary school'}
0,bar 97 ranch,bar 97 ranch,{'7 bar ranch'}
0,bear creek ranch,bear creek ranch,"{'bridge creek ranch', 'clover creek ranch', 'boulder creek ranch', 'berry creek ranch', 'clear creek ranch'}"
0,bear creek watershed council,bear creek watershed council,"{'trout creek watershed council', 'little butte creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'ecola creek watershed council', 'bridge creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,benton county public works,benton county public works,{'clatsop county public works'}
0,bergerson construction,bergerson construction,{'baertlein construction'}
0,berrett ranch,berrett ranch,"{'burnette ranch', 'garrett ranch', 'betts ranch'}"
0,berry creek ranch,berry creek ranch,"{'cable creek ranch', 'clear creek ranch', 'boulder creek ranch', 'bear creek ranch'}"
0,betts ranch,betts ranch,"{'berrett ranch', 'bettis ranches'}"
0,bg cattle company,bg cattle company,{'c2 cattle company'}
0,big butte district improvement,big butte district improvement,{'badger improvement district'}
0,bloomer ranches inc,bloomer ranches inc,{'foster ranches inc'}
0,bob hockema construction,bob hockema construction,"{'john hockema construction', 'oakes bros construction'}"
0,bonanza elementary school,bonanza elementary school,{'banks elementary school'}
0,boulder creek ranch,boulder creek ranch,"{'clover creek ranch', 'bear creek ranch', 'berry creek ranch', 'clear creek ranch', 'couse creek ranch', 'cable creek ranch'}"
0,bowerman ranch,bowerman ranch,{'bowers ranch'}
0,bowers ranch,bowers ranch,{'bowerman ranch'}
0,britten ranch,britten ranch,{'burnette ranch'}
0,brown ranch,brown ranch,{'crown ranch'}
0,bunch ranch,bunch ranch,"{'bush ranch', 'buchler ranch'}"
0,burnette ranch,burnette ranch,"{'berrett ranch', 'britten ranch'}"
0,bush ranch,bush ranch,"{'bunch ranch', 'buhler ranch'}"
0,butler ranches,butler ranches,"{'buhler ranch', 'buchler ranch'}"
0,butte falls high school,butte falls high school,{'falls city high school'}
0,c2 cattle company,c2 cattle company,{'bg cattle company'}
0,cable creek ranch,cable creek ranch,"{'clover creek ranch', 'boulder creek ranch', 'berry creek ranch', 'colemen creek ranch', 'clear creek ranch', 'couse creek ranch'}"
0,calapooia watershed council,calapooia watershed council,"{'clatsop watershed council', 'alsea watershed council'}"
0,cavalier homeowners association,cavalier homeowners association,{'cedar lake homeowners association'}
0,cc r ranch,cc r ranch,{'r r ranch'}
0,cedar lake homeowners association,cedar lake homeowners association,{'cavalier homeowners association'}
0,centennial school district,centennial school district,{'central school district 13j'}
0,central curry school district,central curry school district,{'central school district 13j'}
0,central high school,central high school,"{'crater high school', 'glendale high school'}"
0,central school district 13j,central school district 13j,"{'central curry school district', 'centennial school district'}"
0,chetco watershed council,chetco watershed council,"{'clatsop watershed council', 'alsea watershed council'}"
0,city of albany,city of albany,{'city of ashland'}
0,city of ashland,city of ashland,{'city of albany'}
0,city of baker city,city of baker city,{'city of bay city'}
0,city of bandon,city of bandon,{'city of bend'}
0,city of bay city,city of bay city,"{'city of coos bay', 'city of baker city'}"
0,city of beaverton,city of beaverton,{'city of carlton'}
0,city of bend,city of bend,{'city of bandon'}
0,city of carlton,city of carlton,{'city of beaverton'}
0,city of coos bay,city of coos bay,{'city of bay city'}
0,city of cornelius,city of cornelius,{'city of corvallis'}
0,city of corvallis,city of corvallis,{'city of cornelius'}
0,city of dallas,city of dallas,"{'city of molalla', 'city of the dalles'}"
0,city of dufur,city of dufur,{'city of durham'}
0,city of durham,city of durham,"{'city of gresham', 'city of dufur'}"
0,city of fairview public works,city of fairview public works,{'city of madras public works'}
0,city of gresham,city of gresham,{'city of durham'}
0,city of lakeside,city of lakeside,"{'city of oakridge', 'city of lakeside pw'}"
0,city of lakeside pw,city of lakeside pw,{'city of lakeside'}
0,city of madras public works,city of madras public works,{'city of fairview public works'}
0,city of medford parks recreation department,city of medford parks recreation department,{'oregon parks recreation department'}
0,city of molalla,city of molalla,{'city of dallas'}
0,city of oakridge,city of oakridge,{'city of lakeside'}
0,city of prineville,city of prineville,{'city of wilsonville'}
0,city of salem,city of salem,{'city of talent'}
0,city of talent,city of talent,{'city of salem'}
0,city of the dalles,city of the dalles,{'city of dallas'}
0,city of wilsonville,city of wilsonville,{'city of prineville'}
0,clackamas county,clackamas county,{'clackamas county parks'}
0,clackamas county juvenile department,clackamas county juvenile department,{'clackamas county road department'}
0,clackamas county parks,clackamas county parks,{'clackamas county'}
0,clackamas county road department,clackamas county road department,"{'clackamas county juvenile department', 'coos county road department', 'baker county road department', 'columbia county road department', 'columbia county roads department'}"
0,clatsop county public works,clatsop county public works,{'benton county public works'}
0,clatsop watershed council,clatsop watershed council,"{'chetco watershed council', 'calapooia watershed council', 'alsea watershed council'}"
0,clear creek ranch,clear creek ranch,"{'clover creek ranch', 'boulder creek ranch', 'berry creek ranch', 'bear creek ranch', 'colemen creek ranch', 'couse creek ranch', 'cable creek ranch'}"
0,clover creek ranch,clover creek ranch,"{'boulder creek ranch', 'bear creek ranch', 'colemen creek ranch', 'cochran creek ranch', 'clear creek ranch', 'couse creek ranch', 'cable creek ranch'}"
0,cochran creek ranch,cochran creek ranch,{'clover creek ranch'}
0,cole ranch,cole ranch,"{'mobley ranch', 'olsen ranch', 'copley ranch'}"
0,colemen creek ranch,colemen creek ranch,"{'clover creek ranch', 'clear creek ranch', 'cable creek ranch', 'couse creek ranch'}"
0,columbia county parks department,columbia county parks department,"{'columbia county roads and parks department', 'columbia county road department', 'baker county parks department', 'columbia county roads department'}"
0,condon school district,condon school district,"{'school district 9', 'adrian school district'}"
0,coos county highway department,coos county highway department,"{'coos county road department', 'coos county planning department'}"
0,coos county planning department,coos county planning department,"{'coos county road department', 'coos county highway department'}"
0,coos county road department,coos county road department,"{'lake county road department', 'coos county planning department', 'linn county road department', 'baker county road department', 'columbia county road department', 'coos county highway department', 'lane county road department', 'clackamas county road department', 'columbia county roads department'}"
0,coos river step association,coos river step association,{'millicoma river step association'}
0,coos swcd,coos swcd,{'crook swcd'}
0,coos watershed association,coos watershed association,"{'coquille watershed association', 'north coast watershed association'}"
0,copley ranch,copley ranch,"{'mobley ranch', 'cole ranch'}"
0,coquille watershed association,coquille watershed association,{'coos watershed association'}
0,coquille watershed council,coquille watershed council,{'alsea watershed council'}
0,cottage grove high school,cottage grove high school,{'forest grove high school'}
0,council volunteers,council volunteers,"{'community volunteers', 'volunteers community'}"
0,county parks,county parks,"{'linn county parks', 'lane county parks'}"
0,courtney ranches llc,courtney ranches llc,{'forth ranches llc'}
0,couse creek ranch,couse creek ranch,"{'clover creek ranch', 'boulder creek ranch', 'colemen creek ranch', 'clear creek ranch', 'cable creek ranch'}"
0,crater high school,crater high school,{'central high school'}
0,creslane school district,creslane school district,{'adrian school district'}
0,crook county road department,crook county road department,{'curry county road department'}
0,crook swcd,crook swcd,{'coos swcd'}
0,crook timberlands llc,crook timberlands llc,{'plum creek timberlands llc'}
0,crooked river watershed council,crooked river watershed council,"{'pringle creek watershed council', 'mckenzie watershed council', 'silver lake watershed council', 'pudding river watershed council', 'marys river watershed council'}"
0,crown ranch,crown ranch,{'brown ranch'}
0,curry county corrections,curry county corrections,{'marion county corrections'}
0,curry county road department,curry county road department,{'crook county road department'}
0,curry weed advisory board,curry weed advisory board,{'coos county weed advisory board'}
0,dalton ranch limited partnership,dalton ranch limited partnership,{'reed ranch limited partnership'}
0,damon ranch,damon ranch,"{'diamond x ranch', 'morin ranch', 'k diamond ranch'}"
0,davidson ranches,davidson ranches,"{'anderson ranches', 'harrison ranches'}"
0,dee irrigation district,dee irrigation district,"{'squaw creek irrigation district', 'arnold irrigation district'}"
0,deep creek watershed council,deep creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'mckenzie watershed council', 'evans creek watershed council', 'ecola creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'floras creek watershed council', 'bear creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,deer creek elementary school,deer creek elementary school,{'riley creek elementary school'}
0,deschutes county,deschutes county,{'deschutes county odot'}
0,deschutes county odot,deschutes county odot,{'deschutes county'}
0,deschutes county road department,deschutes county road department,"{'lane county road department', 'malheur county road department', 'lake county road department'}"
0,deschutes county watershed council,deschutes county watershed council,"{'upper deschutes watershed council', 'lake county watershed council', 'lake county watershed councils'}"
0,deschutes river conservancy,deschutes river conservancy,{'deschutes resources conservancy'}
0,devils lake water improvement district,devils lake water improvement district,{'adel water improvement district'}
0,diamond x ranch,diamond x ranch,"{'damon ranch', 'k diamond ranch', 'white diamond ranch'}"
0,double k ranch,double k ranch,{'double r ranch'}
0,double r ranch,double r ranch,{'double k ranch'}
0,douglas county parks department,douglas county parks department,{'josephine county parks department'}
0,douglas county public works,douglas county public works,"{'lane county public works', 'polk county public works'}"
0,douglas forest protection association,douglas forest protection association,{'coos forest protection association'}
0,dtl logging,dtl logging,{'l s d logging'}
0,east fork irrigation district,east fork irrigation district,{'hermiston irrigation district'}
0,ecola creek watershed council,ecola creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'floras creek watershed council', 'bear creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,elk creek watershed council,elk creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'willow creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'rickreall watershed council', 'bridge creek watershed council', 'ecola creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'floras creek watershed council', 'bear creek watershed council', 'tryon creek watershed council'}"
0,elk meadows homeowners association,elk meadows homeowners association,{'river meadows homeowners association'}
0,elk sixes watershed council,elk sixes watershed council,"{'evans creek watershed council', 'silver lake watershed council', 'mosier watershed council', 'siuslaw watershed council', 'nehalem watershed council'}"
0,ernst ranch,ernst ranch,"{'keerins ranch', 'perkins ranch'}"
0,evans creek watershed council,evans creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'deep creek watershed council', 'ecola creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'elk sixes watershed council', 'floras creek watershed council', 'bear creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,evans timber llc,evans timber llc,{'ap timber llc'}
0,fairview creek watershed council,fairview creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'ecola creek watershed council', 'floras creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,falls city high school,falls city high school,{'butte falls high school'}
0,farmers irrigation district,farmers irrigation district,{'hermiston irrigation district'}
0,fate creek ranch,fate creek ranch,"{'pine creek ranch', 'ferris creek ranch', 'french creek ranch', 'fence creek ranch'}"
0,felder ranch,felder ranch,{'fields ranch'}
0,fence creek ranch,fence creek ranch,"{'pine creek ranch', 'fate creek ranch', 'french creek ranch'}"
0,ferris creek ranch,ferris creek ranch,{'fate creek ranch'}
0,ferris lumber,ferris lumber,{'freres lumber'}
0,fields ranch,fields ranch,{'felder ranch'}
0,floras creek watershed council,floras creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'salmon drift creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'salmon drift creek watersheds council', 'ecola creek watershed council', 'fairview creek watershed council', 'johnson creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,fluitt family farms,fluitt family farms,{'smith family farms'}
